   101719720     1.991303     0.467258    -0.027976   -999   -999   -999   -999   -999     0.459359     0.007899
   323271646     2.091470     0.468840     0.017018   -999   -999   -999   -999   -999     0.461003     0.007837
# The following section is for AoA=35 deg:
ZONE T="005 TC1 <greek>a<\greek> = 35°, grid convergence "
     4188184     1.685147     0.616747     0.106562   -999   -999   -999   -999   -999     0.611333     0.005414
     7184160     1.670326     0.618834     0.111274   -999   -999   -999   -999   -999     0.613463     0.005371
    16534903     1.682100     0.620078     0.111598   -999   -999   -999   -999   -999     0.614616     0.005462
    34012510     1.661515     0.611004     0.108764   -999   -999   -999   -999   -999     0.605511     0.005493
   101719720     1.661649     0.609359     0.102360   -999   -999   -999   -999   -999     0.603807     0.005552
   323271646     1.646741     0.608354     0.093290   -999   -999   -999   -999   -999     0.602891     0.005463
