        25.0    101719720     2.142839     0.377127    -0.060209   -999   -999   -999   -999   -999     0.367831     0.009296
        30.0    101719720     1.990576     0.467452    -0.027964   -999   -999   -999   -999   -999     0.459554     0.007898
        35.0    101719720     1.661957     0.609341     0.102433   -999   -999   -999   -999   -999     0.603789     0.005552
ZONE T="005 TC1 NOMINAL R.1.TC1.02 HL6_RANS_4f "
        10.0    323271646     1.243144     0.155344    -0.111250   -999   -999   -999   -999   -999     0.146703     0.008641
        15.0    323271646     1.557398     0.215936    -0.082113   -999   -999   -999   -999   -999     0.206839     0.009097
        20.0    323271646     1.866838     0.292239    -0.070549   -999   -999   -999   -999   -999     0.282925     0.009314
        25.0    323271646     2.140012     0.375933    -0.059666   -999   -999   -999   -999   -999     0.366658     0.009275
        30.0    323271646     2.091505     0.468838     0.016997   -999   -999   -999   -999   -999     0.461000     0.007838
        35.0    323271646     1.653428     0.608758     0.093938   -999   -999   -999   -999   -999     0.603236     0.005522
